val_loss;acc;val_acc;time;loss
0.151562500745;0.0833333311344;0.0906249977027;5.827;0.143397493598
0.145778312969;0.0763888865088;0.0906249973147;3.003;0.151606838115
0.14675106698;0.0777777756513;0.0895833290027;2.677;0.149325492067
0.131304291077;0.0701388865192;0.0895833309429;2.701;0.148645080212
0.152773419395;0.0756944422869;0.0833333311991;2.682;0.146181365061
0.117425505072;0.0881944414383;0.0854166645246;2.749;0.142470274534
0.110060821287;0.0847222198629;0.112499999503;2.723;0.138793593893
0.0940733721169;0.0951388849773;0.083333330811;2.749;0.128646279996
0.0764512911749;0.109722216458;0.0791666640434;2.709;0.0931402823577
0.0727086084274;0.110416663423;0.234374994102;2.728;0.0765992128808
0.0724962617581;0.135416664545;0.220833325138;2.673;0.0754093933437
0.0713413703876;0.145833329401;0.176041661606;2.73;0.0736563545134
0.0705518885516;0.152083325303;0.169791661203;2.745;0.073067313888
0.0668189654437;0.177083324848;0.224999993108;2.695;0.0717619628542
0.0670244417464;0.175694440698;0.181249997734;2.737;0.0719781600767
0.0649156502138;0.182638882245;0.236458335693;2.755;0.0713938599866
0.064306943755;0.192361105647;0.282291665984;2.778;0.0698304998999
0.0654885590387;0.199999995116;0.320833332216;2.775;0.0697427444781
0.0675696786493;0.218055548871;0.298958320792;2.712;0.0726321185422
0.0615560131458;0.260416660665;0.388541656236;2.792;0.0668200682849
0.0624512597763;0.243749998096;0.331249992053;2.786;0.0659013232216
0.0580268538712;0.311805547939;0.404166658719;2.85;0.063354560174
0.050622508085;0.388888881024;0.455208327621;2.722;0.0591945250312
0.0420424884651;0.443055539909;0.593749987582;2.775;0.0550806055673
0.0354238850996;0.522916640672;0.626041660706;2.734;0.0485240013546
0.0361424755538;0.576388862812;0.707291652759;2.762;0.0430740871363
0.0233825054408;0.612499975496;0.872916688522;2.758;0.0394788990832
0.0213833305364;0.677777738207;0.815625000745;2.772;0.0340818234771
0.013763069602;0.738194428384;0.948958350966;2.804;0.0290177186382
0.0113500128888;0.770138873822;0.905208367854;2.763;0.0268681365738
0.0152783450903;0.776388855444;0.888541686038;2.796;0.025669616259
0.00677948781716;0.795833338466;0.97708334898;2.724;0.0231982547945
0.00540298363679;0.85138887167;0.984375008692;3.846;0.0188946592389
0.00325760098591;0.81041667569;0.991666674614;2.877347;0.0228827370641
0.00289113199688;0.888888893856;0.988541677594;3.058141;0.0137885331513
0.00124862048566;0.879861095713;0.99687500298;2.821348;0.0143708143538
0.00205056209234;0.885416670806;0.994791671634;2.795149;0.0144285690298
0.000622137320837;0.918750005464;1.0;2.745948;0.0102708142561
0.000409975423887;0.90763890081;0.999999993791;2.824549;0.0114473643415
0.000274304314113;0.930555574596;1.0;2.911545;0.00887372476023
0.000284660100685;0.930555558039;0.998958334327;2.822748;0.00861379513905
0.000112271484151;0.92013888475;1.0;3.041943;0.0101603632663
0.00133879703814;0.943750000662;0.99375000596;2.859552;0.00735706740913
0.00065749097818;0.919444453385;0.995833337307;2.888345;0.00894299117176
0.000406203386547;0.923611128496;0.997916668653;3.041545;0.00846506235798
0.000218727818947;0.934027773639;1.0;2.944743;0.00795104654066
9.43232645767e-05;0.945138885743;0.998958334327;2.918943;0.00656242666688
0.000110813640156;0.94652776089;0.998958334327;2.912741;0.00642953030506
0.000294259073902;0.921527784732;0.997916668653;3.045139;0.00880139616008
0.000346548280959;0.956944446597;0.997916662445;2.865948;0.00522950297778
0.000210584584162;0.954166668985;0.998958328118;2.892146;0.00585061458534
0.000132752902867;0.943055550257;0.998958334327;2.81755;0.00613135116873
0.000541273827982;0.953472219408;0.99687500298;2.830146;0.00538937484251
0.000187046688905;0.950694448418;0.998958334327;2.836547;0.00612538738642
0.000142073527994;0.97430554943;0.998958334327;2.839547;0.0037825803059
0.000367138449403;0.934027785228;0.996874990563;2.834749;0.00765683340594
0.000234148292629;0.959722234143;0.997916668653;2.815753;0.00490708095216
0.000263301399337;0.958333330022;0.99687500298;2.784356;0.00508657908843
1.44153153262e-05;0.963194440636;1.0;2.838756;0.00436563822505
0.000367533384127;0.952083327704;0.99687500298;2.826559;0.00519734034444
8.93476984647e-05;0.965972232322;0.998958334327;2.808154;0.004233034651
1.56442498864e-05;0.965277763704;1.0;2.749754;0.0040112194547
0.000216338538403;0.960416657229;0.997916668653;2.745753;0.0046213349916
0.000319647566716;0.963888880279;0.997916668653;2.976751;0.00433279930601
0.000178300963367;0.952777785559;0.998958334327;2.826761;0.00500667587524
0.000496297534966;0.979861087269;0.99687500298;2.931552;0.00262914374293
9.30084800289e-06;0.968749996689;1.0;2.773358;0.00409254370607
2.43606873115e-05;0.968055547112;0.999999993791;2.881756;0.00366407240169
0.000131812972827;0.97638886008;0.998958334327;2.948749;0.00302205568005
7.3602717128e-05;0.977083320419;0.998958334327;2.846154;0.00269919375407
