acc;loss;time;val_loss;val_acc
0.0831944416536;0.0842533170556;21.592243;0.0762735729416;0.127083328941
0.0920833289209;0.0811945050955;17.830343;0.0761096039787;0.127708328345
0.0943055516109;0.0804329523817;17.752345;0.0758408654171;0.151249996697
0.0940277746154;0.079631442618;18.001938;0.0756353482914;0.131458330667
0.0970833298181;0.0791465779766;17.752345;0.0753052262589;0.176249994896
0.0997222185704;0.0787132339966;18.251532;0.0750846567874;0.187499993791
0.109166662157;0.0777961699706;17.643147;0.0748703718806;0.203749992729
0.118055551572;0.0774452102681;17.752345;0.074650619179;0.214166659086
0.11916666271;0.077078595861;18.017538;0.0744096683338;0.236041655764
0.127083329122;0.0769007396367;17.892741;0.074178287449;0.249166661563
0.126111106274;0.0765773253515;17.643148;0.0739342886955;0.262083323672
0.131388884348;0.0762814943575;17.861542;0.0736511056311;0.262708325249
0.141111106457;0.0760456835851;17.93954;0.0733959226248;0.278749989346
0.151944438409;0.0756264631119;17.908341;0.0730968834832;0.294583324033
0.153611105246;0.0753809801406;17.923941;0.0728144447009;0.302499988116
0.152361106024;0.0753173099624;17.814743;0.0726623504112;0.316874988377
0.163055548444;0.0749554532684;17.830343;0.0723424336563;0.320833323213
0.16541666165;0.0746999272249;17.721145;0.0721486097512;0.311666655354
0.179861105875;0.0741109275776;18.048738;0.0717438557185;0.326666657192
0.186805549285;0.074036304632;17.877141;0.0714789270423;0.329166656981
0.199444439883;0.0735668147811;18.173534;0.0711238174699;0.341458321549
0.191805549794;0.0737114844637;17.752345;0.0707839466631;0.348749990265
0.208888881219;0.0731388423592;17.783544;0.0704422793351;0.362499988948
0.204583327493;0.0731066214956;17.970739;0.0700808130205;0.368958318606
0.211249994735;0.0727157897005;17.752345;0.0697286563615;0.374791657552
0.222083325601;0.0724121305264;17.95514;0.0693751714813;0.378958321487
0.231249992425;0.0719895261443;18.001939;0.0689155504418;0.402291654299
0.23402776921;0.0717716324661;17.986338;0.0684711405387;0.39562498716
0.239166657751;0.0713839906578;17.861542;0.0679704835638;0.395624988402
0.236111103867;0.0712074087933;17.799144;0.0674781419026;0.406874983882
0.257222214921;0.0706586684618;17.845942;0.0670204550649;0.42562498711
0.265694436307;0.0702882195926;17.830343;0.0667313500308;0.42291665636
