val_acc;acc;time;val_loss;loss
0.0749999975993;0.0879629591687;5.165;0.154166664928;0.14346032976
0.0749999975993;0.0898148120139;2.624;0.154166662859;0.15152859881
0.0749999975993;0.0888888844185;2.573;0.154071832697;0.151271709413
0.0833333307463;0.0842592560997;2.572;0.152777777364;0.151696613541
0.0833333307463;0.0833333307118;2.515;0.152777785642;0.15277777695
0.0833333297115;0.0833333292976;2.626;0.152777779433;0.152730063984
0.0833333297115;0.0740740727633;2.465;0.152777775294;0.152263360443
0.0930555507334;0.0731481455473;2.534;0.151157403986;0.151428672175
0.0930555507334;0.0777777746596;2.587;0.151157403986;0.152859637307
0.0833333309533;0.0768518482714;2.583;0.152777781089;0.150143565679
0.0833333319881;0.0712962945302;2.625;0.15277777902;0.152078021456
0.0833333299185;0.0888888846945;2.566;0.152777781089;0.147759972623
0.0833333319881;0.0796296260906;2.624;0.152777781089;0.148886289034
0.0930555507334;0.0842592563066;2.709;0.150842019253;0.148680718685
0.0749999965645;0.0925925887983;2.616;0.146449183838;0.146628778566
0.0930555507334;0.110185180825;2.65;0.151157408125;0.14410541041
0.0833333299185;0.0851851825913;2.595;0.152773225473;0.149632319532
0.176388880445;0.103703700696;2.61;0.116235488405;0.145715031083
0.0930555507334;0.0861111093588;2.651;0.150608169122;0.149833603314
0.108333329567;0.0944444410572;2.662;0.144215115243;0.148424763922
0.0833333299185;0.113888885412;2.608;0.152629839463;0.144190906926
0.16249999404;0.112037034636;2.547;0.139090371215;0.144157846493
0.158333331553;0.146296292267;2.588;0.134396455354;0.138904660112
0.176388880445;0.131481476404;2.517;0.130031539748;0.140604422048
0.213888881935;0.128703700999;2.585;0.120113611842;0.141178623394
0.176388878375;0.141666664707;2.656;0.136453818737;0.138971156268
0.158333331553;0.140740735387;2.727;0.138043090287;0.139585347363
0.158333329484;0.18240740302;2.666;0.134584755533;0.132237632104
0.320833327042;0.204629626815;2.482;0.102767072825;0.126466963026
0.408333319757;0.254629623007;2.64;0.0904869505515;0.115985216918
0.406944432192;0.317592580561;2.531;0.090682292978;0.105230927881
