val_loss;time;acc;val_acc;loss
0.152777663743;3.104301;0.0819444413711;0.0833333315871;0.127612674402
0.152777663432;2.885907;0.0833333298667;0.0833333311991;0.152777572887
0.15277766188;2.792311;0.0833333303065;0.083333330423;0.152777568748
0.152777643253;2.995104;0.0833333289613;0.083333330811;0.152777568955
0.152777544533;2.901507;0.0833333299185;0.0833333319752;0.152777487412
0.152777333123;2.917106;0.0833333304359;0.083333330811;0.152777277761
0.152603711933;3.057502;0.0791666643798;0.0843749971439;0.153068676177
0.152777927617;3.166699;0.0854166630759;0.0822916622274;0.15221460205
0.152951246438;3.026303;0.079861107748;0.0822916645557;0.153004442238
0.152951200182;2.963905;0.0840277753822;0.0822916633915;0.152661654684
0.152950729243;2.979504;0.0840277744768;0.0822916630035;0.152661362249
0.152604173558;2.963905;0.0791666635002;0.0843749971439;0.151484837859
0.15260416735;2.995104;0.0826388856189;0.08437499792;0.152893521099
0.152604170454;2.901507;0.0826388839891;0.0843749971439;0.152893522754
0.152604170454;3.026303;0.0826388871711;0.0843749971439;0.152893519029
0.152604170454;2.948306;0.0826388850498;0.0843749971439;0.152893519857
0.152604165797;2.948306;0.0826388845841;0.08437499792;0.152893520685
0.152604173558;2.932706;0.0826388857483;0.0843749971439;0.152893520685
0.152604170454;2.948306;0.0826388842737;0.08437499792;0.152893520685
0.152604168902;3.010703;0.0826388853602;0.0843749963678;0.152893518615
0.15260416735;2.885908;0.0826388864468;0.08437499792;0.152893518615
0.152604170454;2.995104;0.0826388845324;0.08437499792;0.152893520685
0.15260416735;2.917106;0.0826388870159;0.08437499792;0.15289351965
0.15260416735;2.995104;0.0826388853085;0.08437499792;0.15289351965
0.152604170454;2.792311;0.0826388867055;0.0843749963678;0.152893516545
0.152604165797;2.870308;0.0826388848945;0.0843749971439;0.15289351758
0.152604170454;2.963905;0.0826388856707;0.0843749971439;0.15289351758
0.152604168902;2.995104;0.0826388871452;0.0843749971439;0.152893520685
0.152604170454;3.026303;0.0826388847911;0.0843749971439;0.152893520685
0.152604172006;2.948305;0.0826388855672;0.0843749963678;0.152893518615
