val_acc;val_loss;loss;acc;time
0.0791666625688;0.145688378563;0.140396579962;0.0879629601345;5.040504
0.0791666631897;0.0856715221372;0.128115002342;0.0657407389609;2.368236
0.0833333299185;0.0763906983452;0.0776449603339;0.0851851794179;2.410241
0.0833333319881;0.0763931628317;0.0770555044766;0.0842592549959;2.263226
0.0833333309533;0.0763954580244;0.0763872062994;0.0814814785564;2.345235
0.0749999965645;0.0763978422102;0.0763862553846;0.0749999974613;2.517252
0.0749999975993;0.0764003514002;0.0763844973235;0.0888888855223;2.29923
0.0749999986341;0.0764028117475;0.076384022556;0.0888888863157;2.469247
0.0749999986341;0.0764052658859;0.076382521126;0.088888887316;2.435243
0.0749999965645;0.07640636257;0.0771009773016;0.0703703685215;2.333233
0.0722222216427;0.0764085284124;0.0763809333245;0.0907407372638;2.40224
0.0722222195731;0.0764102790919;0.0763802555976;0.0777777743836;2.631263
0.0722222216427;0.0764123453862;0.0763790959285;0.0907407383676;2.359236
0.0749999975993;0.0764148262226;0.0763784235826;0.0870370355055;2.458245
0.0722222195731;0.0764171323842;0.0763773099968;0.0833333312637;2.411242
0.0722222216427;0.0764190320753;0.0763767456843;0.0851851820394;2.434243
0.0722222195731;0.0764208202147;0.076376395645;0.0888888840736;2.419242
0.0722222185383;0.0764224071883;0.0763757351648;0.0907407369879;2.470247
0.0722222185383;0.0764242067105;0.0763752568099;0.0907407355391;2.436244
0.0722222185383;0.0764260790828;0.0763744284157;0.0907407377122;2.483248
0.0722222175035;0.0764278740519;0.0763738064302;0.0907407374018;2.442244
0.0722222185383;0.07642979982;0.0763731040061;0.0907407400233;2.363236
0.0722222185383;0.0764315014498;0.0763725850869;0.090740736298;2.424242
0.0722222185383;0.0764322467148;0.0771679759577;0.0935185169456;2.470247
0.0722222195731;0.0764342022853;0.0763716968121;0.0907407376777;2.404241
0.0722222206079;0.0764357120627;0.0763716577656;0.0907407375053;2.441244
0.0722222216427;0.0764375057899;0.076371335459;0.0907407404372;2.589259
0.0722222206079;0.0764391180128;0.0763710552344;0.0907407380227;2.456246
0.0722222206079;0.0764409473373;0.0763702869967;0.0907407380227;2.476248
0.0722222185383;0.0764425721847;0.0763703708847;0.090740738816;2.277227
0.0722222185383;0.076443741305;0.0763698583124;0.0907407366429;2.451245
0.0722222185383;0.0764451871316;0.0763697264095;0.0907407398163;2.485248
0.0722222175035;0.0764462509089;0.0763692360509;0.0907407369879;2.39524
0.0722222206079;0.0764474301702;0.0763692520559;0.09074073616;2.116211
0.0722222195731;0.0764482693954;0.0763691913474;0.090740738885;2.189218
0.0722222195731;0.0764492853648;0.0763686703587;0.090740736436;2.072207
0.0722222216427;0.0764504691793;0.0763684173149;0.090740736298;2.181218
0.0722222216427;0.0764516055998;0.0763687299633;0.0907407369189;2.040204
0.0722222185383;0.0764527364324;0.0763685906099;0.0907407381606;2.083209
0.0722222195731;0.0764538885819;0.0763679000515;0.0907407394024;2.222222
0.0722222206079;0.0764545318153;0.0763686358653;0.0907407357461;2.110211
0.0722222216427;0.0764553865625;0.0763677355868;0.090740736367;2.150215
0.0722222206079;0.076456743396;0.0763677811181;0.0907407396783;2.351235
0.0722222216427;0.0764575230165;0.0763678774238;0.0907407369189;2.545255
0.0722222206079;0.0764587231808;0.0763672878621;0.0907407384366;2.513251
