val_acc;acc;time;val_loss;loss
0.0930555507334;0.0787036998404;2.906;0.151157406055;0.14728943976
0.0930555507334;0.0768518496857;2.53;0.151157410194;0.153858016211
0.0930555507334;0.0768518499616;2.515;0.151157410194;0.153857894242
0.0930555507334;0.0749999970474;2.528;0.151157403986;0.153720400952
0.0930555517682;0.0768518491338;2.568;0.151157406055;0.153858025593
0.0930555507334;0.0768518495822;2.582;0.151157406055;0.153858025593
0.0930555507334;0.0768518499616;2.604;0.151157408125;0.153858025593
0.0930555507334;0.0768518498581;2.579;0.151157410194;0.153858026973
0.0930555507334;0.0768518486509;2.636;0.151157410194;0.153858017314
0.0930555517682;0.0768518503755;2.504;0.151157408125;0.153858026973
0.0930555507334;0.0768518492028;2.524;0.151157410194;0.153858025593
0.0930555507334;0.07685184803;2.621;0.151157410194;0.153858025593
0.0930555507334;0.0768518494442;2.589;0.151157408125;0.153858028352
0.0930555507334;0.0768518489268;2.653;0.151157406055;0.153858025593
0.0930555507334;0.0768518488578;2.608;0.151157408125;0.153858022833
0.0930555507334;0.0768518475471;2.635;0.151157406055;0.153858028352
0.0930555507334;0.0768518490648;2.601;0.151157408125;0.153858031112
0.0930555507334;0.0768518488923;2.618;0.151157414334;0.153858024213
0.0930555507334;0.0768518487198;2.585;0.151157408125;0.153858024213
0.0930555517682;0.0768518498926;2.643;0.151157406055;0.153858029732
0.0930555507334;0.0768518483404;2.726;0.151157403986;0.153858026973
0.0930555507334;0.0768518497547;2.541;0.151157414334;0.153858025593
0.0930555507334;0.0768518498236;2.634;0.151157406055;0.153858026973
0.0930555507334;0.0768518486854;2.626;0.151157406055;0.153858025593
0.0930555507334;0.0768518485129;2.478;0.151157406055;0.153858025593
0.0930555507334;0.076851848168;2.611;0.151157406055;0.153858026973
0.0930555507334;0.0768518492028;2.51;0.151157406055;0.153858024213
0.0930555507334;0.0768518493407;2.633;0.151157410194;0.153858025593
0.0930555507334;0.0768518487543;2.644;0.151157408125;0.153858029732
0.0930555507334;0.076851848099;2.613;0.151157403986;0.153858026973
0.0930555507334;0.0768518483059;2.669;0.151157408125;0.153858028352
0.0930555507334;0.0768518502721;2.517;0.151157408125;0.153858028352
0.0930555507334;0.0768518491338;2.657;0.151157406055;0.153858025593
0.0930555507334;0.076851850479;2.595;0.151157410194;0.153858025593
